overall,asin,reviewerID,cluster,brand,highlight,asin2,reviewerID2,main_suggestions,second_suggestions
5.0,0989450236,AGRMRLL4ODM0J,2,Visit Amazon's K. Bromberg Page,0,469,200,"{'0544227204', '0764209906', '1476718970', '0062312464', '0988715805', '1482658143', '0141347449', '0989450236', '1515051447', '1481922726'}","{'0544227204', '0764209906', '1476718970', '0062312464', '0988715805', '1482658143', '0141347449', '0989450236', '1515051447', '1481922726'}"
5.0,0989450252,A20CJS1U3Q5PZA,2,Visit Amazon's K. Bromberg Page,0,466,287,"{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}","{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}"
5.0,0989450252,AJ9L1E5A31UZE,2,Visit Amazon's K. Bromberg Page,0,466,321,"{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}","{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}"
5.0,0989450252,A1FJ6YD0TL90GN,2,Visit Amazon's K. Bromberg Page,0,466,186,"{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}","{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}"
5.0,0989450252,A23VKINWRY6J92,2,Visit Amazon's K. Bromberg Page,0,466,88,"{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}","{'0989450252', '1522749608', '1455549002', '0692320962', '1938127552', '194148008X', '0425269841', '034550075X', '1499324855', '031294232X'}"
4.0,0989539164,A1IDKZE0M1TSO0,1,Visit Amazon's Selena Laurence Page,0,473,260,"{'1476777969', '0991068009', '0989539164', '0989108155', '1500139122', '2755617918', '0989163377', '1499718268', '1534682651', '1477829113'}","{'1476777969', '0991068009', '0989539164', '0989108155', '1500139122', '2755617918', '0989163377', '1499718268', '1534682651', '1477829113'}"
5.0,0989539164,A1HW31KJ9V89CR,2,Visit Amazon's Selena Laurence Page,0,473,305,"{'1476777969', '0991068009', '0989539164', '0989108155', '1500139122', '2755617918', '0989163377', '1499718268', '1534682651', '1477829113'}","{'1476777969', '0991068009', '0989539164', '0989108155', '1500139122', '2755617918', '0989163377', '1499718268', '1534682651', '1477829113'}"
4.0,0989527417,A3KBRXW4PKK2MT,1,Abi Ketner,0,474,69,"{'1482332574', '1489534806', '1533220441', '0989527417', '1532859546', '1534931821', '1491001011', '1516877888', '1477808663', '1496147073'}","{'1482332574', '1489534806', '1533220441', '0989527417', '1532859546', '1534931821', '1491001011', '1516877888', '1477808663', '1496147073'}"
4.0,0989713482,A1GECJN7XHDKU6,1,Visit Amazon's Alyssa Rae Taylor Page,0,475,72,"{'0993800122', '1718838514', '0997483202', '1492826634', '0989496023', '1503936600', '1943893438', '1476744955', '0985872586', '0989713482'}","{'0993800122', '1718838514', '0997483202', '1492826634', '0989496023', '1503936600', '1943893438', '1476744955', '0985872586', '0989713482'}"
5.0,0989713482,A3S3O6L6SZL8KV,2,Visit Amazon's Alyssa Rae Taylor Page,0,475,212,"{'0993800122', '1718838514', '0997483202', '1492826634', '0989496023', '1503936600', '1943893438', '1476744955', '0985872586', '0989713482'}","{'0993800122', '1718838514', '0997483202', '1492826634', '0989496023', '1503936600', '1943893438', '1476744955', '0985872586', '0989713482'}"
5.0,0989713482,A1JLU5H1CCENWX,2,Visit Amazon's Alyssa Rae Taylor Page,0,475,293,"{'0993800122', '1718838514', '0997483202', '1492826634', '0989496023', '1503936600', '1943893438', '1476744955', '0985872586', '0989713482'}","{'0993800122', '1718838514', '0997483202', '1492826634', '0989496023', '1503936600', '1943893438', '1476744955', '0985872586', '0989713482'}"
4.0,0989740617,A18EEC1ENOT9YN,1,Visit Amazon's T. K. Leigh Page,0,476,247,"{'1479345172', '0990678822', '0989982432', '0997483202', '0615553028', '0989740617', '1481859242', '0985777338', '1941363075', '1484101626'}","{'1479345172', '0990678822', '0989982432', '0997483202', '0615553028', '0989740617', '1481859242', '0985777338', '1941363075', '1484101626'}"
5.0,0989776018,A3CYA250L0DABZ,2,Visit Amazon's Cristin Harber Page,0,477,24,"{'193919394X', '1493780786', '1502319292', '0821777157', '0987029088', '0989776018', '0996448349', '1493729454', '1503948706', '0778313514'}","{'193919394X', '1493780786', '1502319292', '0821777157', '0987029088', '0989776018', '0996448349', '1493729454', '1503948706', '0778313514'}"
4.0,0989776018,AFLUSKCVBJ8UG,1,Visit Amazon's Cristin Harber Page,0,477,322,"{'193919394X', '1493780786', '1502319292', '0821777157', '0987029088', '0989776018', '0996448349', '1493729454', '1503948706', '0778313514'}","{'193919394X', '1493780786', '1502319292', '0821777157', '0987029088', '0989776018', '0996448349', '1493729454', '1503948706', '0778313514'}"
5.0,0989780716,ALY4MQYVAEE4U,2,Visit Amazon's Ilsa Madden-Mills Page,0,478,317,"{'149275160X', '0993800165', '1732191115', '1494469170', '1940071143', '1507576927', '0989780716', '1515261417', '1541166574', '1496147073'}","{'149275160X', '0993800165', '1732191115', '1494469170', '1940071143', '1507576927', '0989780716', '1515261417', '1541166574', '1496147073'}"
4.0,0989780716,A3E2YW0WOZ9TWL,1,Visit Amazon's Ilsa Madden-Mills Page,0,478,242,"{'149275160X', '0993800165', '1732191115', '1494469170', '1940071143', '1507576927', '0989780716', '1515261417', '1541166574', '1496147073'}","{'149275160X', '0993800165', '1732191115', '1494469170', '1940071143', '1507576927', '0989780716', '1515261417', '1541166574', '1496147073'}"
5.0,0989768414,A2LLGLMTGAQ8B4,2,Visit Amazon's Meredith Wild Page,0,479,86,"{'147674355X', '0989768414', '1500607533', '1944475079', '0062333054', '0345545834', '1476744084', '0425280624', '0451466683', '0062385984'}","{'147674355X', '0989768414', '1500607533', '1944475079', '0062333054', '0345545834', '1476744084', '0425280624', '0451466683', '0062385984'}"
4.0,0989982432,A18EEC1ENOT9YN,1,Visit Amazon's Carly Phillips Page,0,480,247,"{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}","{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}"
3.0,0989982432,A916DXE9W36GF,1,Visit Amazon's Carly Phillips Page,0,480,120,"{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}","{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}"
5.0,0989982432,A3N9UT7F50XA6L,2,Visit Amazon's Carly Phillips Page,0,480,174,"{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}","{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}"
4.0,0989982432,A3LXRIY0HE71K,1,Visit Amazon's Carly Phillips Page,0,480,323,"{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}","{'1479345172', '1484101626', '0439064864', '0989982432', '1490940499', '1940883148', '0989740617', '1481060953', '1941363075', '1939392756'}"
4.0,0989982424,A535AAXVRE5VM,1,Visit Amazon's Carly Phillips Page,0,481,172,"{'1468139339', '0989982424', '0373779046', '1500736678', '1500139122', '1469901773', '0062294806', '0307749649', '1500395447', '1477849734'}","{'1468139339', '0989982424', '0373779046', '1500736678', '1500139122', '1469901773', '0062294806', '0307749649', '1500395447', '1477849734'}"
4.0,0989982424,A3C713428J4MJ7,1,Visit Amazon's Carly Phillips Page,0,481,79,"{'1468139339', '0989982424', '0373779046', '1500736678', '1500139122', '1469901773', '0062294806', '0307749649', '1500395447', '1477849734'}","{'1468139339', '0989982424', '0373779046', '1500736678', '1500139122', '1469901773', '0062294806', '0307749649', '1500395447', '1477849734'}"
5.0,0989982424,A3JVICFD5REACI,2,Visit Amazon's Carly Phillips Page,0,481,131,"{'1468139339', '0989982424', '0373779046', '1500736678', '1500139122', '1469901773', '0062294806', '0307749649', '1500395447', '1477849734'}","{'1468139339', '0989982424', '0373779046', '1500736678', '1500139122', '1469901773', '0062294806', '0307749649', '1500395447', '1477849734'}"
4.0,0990429202,A1R0XBTB3SL5GT,1,Visit Amazon's Mariana Zapata Page,0,482,263,"{'0615887767', '0425263908', '1500607533', '0990429202', '1599987430', '0425280640', '1481004379', '151736180X', '1532748469', '1480276855'}","{'0615887767', '0425263908', '1500607533', '0990429202', '1599987430', '0425280640', '1481004379', '151736180X', '1532748469', '1480276855'}"
5.0,0990429261,A1OCXGNN0116MZ,2,Visit Amazon's Mariana Zapata Page,0,483,324,"{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}","{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}"
5.0,0990429261,A2FG1503QY5C1V,2,Visit Amazon's Mariana Zapata Page,0,483,325,"{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}","{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}"
4.0,0990429202,A37J1XCFNH6FM4,1,Visit Amazon's Mariana Zapata Page,0,482,199,"{'0615887767', '0425263908', '1500607533', '0990429202', '1599987430', '0425280640', '1481004379', '151736180X', '1532748469', '1480276855'}","{'0615887767', '0425263908', '1500607533', '0990429202', '1599987430', '0425280640', '1481004379', '151736180X', '1532748469', '1480276855'}"
5.0,0990429261,A3K4HYYXZFODU2,2,Visit Amazon's Mariana Zapata Page,0,483,326,"{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}","{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}"
5.0,0990429261,AX5NHGPX6G44A,2,Visit Amazon's Mariana Zapata Page,0,483,164,"{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}","{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}"
5.0,0990429261,ACUTKWC2Y2F4K,2,Visit Amazon's Mariana Zapata Page,0,483,327,"{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}","{'1502718766', '1250130921', '149484172X', '1499516959', '1477821589', '1508685878', '1511933496', '1455599247', '0990429261', '194220616X'}"
3.0,0990584186,A151CWWBAJK2N2,1,Visit Amazon's Carly Phillips Page,0,484,328,"{'0062267949', '0062448080', '1530303141', '1101967455', '0990584186', '1491208295', '1502340895', '1476755604', '0778316726', '1928068723'}","{'0062267949', '0062448080', '1530303141', '1101967455', '0990584186', '1491208295', '1502340895', '1476755604', '0778316726', '1928068723'}"
4.0,0990584186,A29HCCZYB9DRI9,1,Visit Amazon's Carly Phillips Page,0,484,64,"{'0062267949', '0062448080', '1530303141', '1101967455', '0990584186', '1491208295', '1502340895', '1476755604', '0778316726', '1928068723'}","{'0062267949', '0062448080', '1530303141', '1101967455', '0990584186', '1491208295', '1502340895', '1476755604', '0778316726', '1928068723'}"
5.0,0990678849,A15EI56DL57DZC,2,Visit Amazon's Heidi McLaughlin Page,0,485,233,"{'1682309797', '1680582437', '150286519X', '1489521534', '0991127390', '1515152588', '1545067864', '1514340380', '0990678849', '150060884X'}","{'1682309797', '1680582437', '150286519X', '1489521534', '0991127390', '1515152588', '1545067864', '1514340380', '0990678849', '150060884X'}"
4.0,0990678849,AM4XZBQH36O2M,1,Visit Amazon's Heidi McLaughlin Page,0,485,197,"{'1682309797', '1680582437', '150286519X', '1489521534', '0991127390', '1515152588', '1545067864', '1514340380', '0990678849', '150060884X'}","{'1682309797', '1680582437', '150286519X', '1489521534', '0991127390', '1515152588', '1545067864', '1514340380', '0990678849', '150060884X'}"
3.0,0990738825,A1ZZX5TYBUYSZH,1,Visit Amazon's Susan Stoker Page,0,486,284,"{'0998310115', '1386374407', '1503945219', '1939962668', '0985777338', '0990738825', '0821777467', '193996248X', '1502541858', '1530584450'}","{'0998310115', '1386374407', '1503945219', '1939962668', '0985777338', '0990738825', '0821777467', '193996248X', '1502541858', '1530584450'}"
5.0,0990678822,A2VSFHELFF7ICE,2,Visit Amazon's Heidi McLaughlin Page,0,487,230,"{'1479345172', '0990678822', '0997483202', '0615553028', '1942832109', '0989740617', '1481859242', '1507641567', '1941363075', '1484101626'}","{'1479345172', '0990678822', '0997483202', '0615553028', '1942832109', '0989740617', '1481859242', '1507641567', '1941363075', '1484101626'}"
3.0,0990678822,A2S6EZUKDG7AF9,1,Visit Amazon's Heidi McLaughlin Page,0,487,329,"{'1479345172', '0990678822', '0997483202', '0615553028', '1942832109', '0989740617', '1481859242', '1507641567', '1941363075', '1484101626'}","{'1479345172', '0990678822', '0997483202', '0615553028', '1942832109', '0989740617', '1481859242', '1507641567', '1941363075', '1484101626'}"
5.0,0990678822,A2CXV6PTJCX3AM,2,Visit Amazon's Heidi McLaughlin Page,0,487,235,"{'1479345172', '0990678822', '0997483202', '0615553028', '1942832109', '0989740617', '1481859242', '1507641567', '1941363075', '1484101626'}","{'1479345172', '0990678822', '0997483202', '0615553028', '1942832109', '0989740617', '1481859242', '1507641567', '1941363075', '1484101626'}"
4.0,099073885X,A3FA93L7JWESR,1,Visit Amazon's Susan Stoker Page,0,488,43,"{'B00KSI4SI4', '0060539836', '1940883725', '1517088216', 'B00GOHHMRC', '099073885X', '1533110638', '1545373949', '1539876012', '0312360800'}","{'B00KSI4SI4', '0060539836', '1940883725', '1517088216', 'B00GOHHMRC', '099073885X', '1533110638', '1545373949', '1539876012', '0312360800'}"
5.0,0990795551,A1IWPVN8JG4JC5,2,Visit Amazon's K.L. Grayson Page,0,489,330,"{'1942832079', '1455586803', '0993702325', '1501122878', '151738799X', '0990795551', '1542600286', '1508515034', '1979630968', '1493788868'}","{'1942832079', '1455586803', '0993702325', '1501122878', '151738799X', '0990795551', '1542600286', '1508515034', '1979630968', '1493788868'}"
5.0,0990795551,A3O6Z1T0IZ3NT,2,Visit Amazon's K.L. Grayson Page,0,489,85,"{'1942832079', '1455586803', '0993702325', '1501122878', '151738799X', '0990795551', '1542600286', '1508515034', '1979630968', '1493788868'}","{'1942832079', '1455586803', '0993702325', '1501122878', '151738799X', '0990795551', '1542600286', '1508515034', '1979630968', '1493788868'}"
5.0,0990795551,AJAN7T0CSDDZO,2,Visit Amazon's K.L. Grayson Page,0,489,331,"{'1942832079', '1455586803', '0993702325', '1501122878', '151738799X', '0990795551', '1542600286', '1508515034', '1979630968', '1493788868'}","{'1942832079', '1455586803', '0993702325', '1501122878', '151738799X', '0990795551', '1542600286', '1508515034', '1979630968', '1493788868'}"
3.0,0990961206,A2BW8YOBTW0P6E,1,Visit Amazon's Priscilla West Page,0,490,332,"{'1502327228', '1620156903', '1533269467', '0385342063', '1535168676', '0062235656', '1455533254', '1499756194', '0990961206', '1622660757'}","{'1502327228', '1620156903', '1533269467', '0385342063', '1535168676', '0062235656', '1455533254', '1499756194', '0990961206', '1622660757'}"
4.0,0990961206,A2RYT2UPEQXUAV,1,Visit Amazon's Priscilla West Page,0,490,333,"{'1502327228', '1620156903', '1533269467', '0385342063', '1535168676', '0062235656', '1455533254', '1499756194', '0990961206', '1622660757'}","{'1502327228', '1620156903', '1533269467', '0385342063', '1535168676', '0062235656', '1455533254', '1499756194', '0990961206', '1622660757'}"
5.0,0990961206,A3UV7BV3U6NA57,2,Visit Amazon's Priscilla West Page,0,490,56,"{'1502327228', '1620156903', '1533269467', '0385342063', '1535168676', '0062235656', '1455533254', '1499756194', '0990961206', '1622660757'}","{'1502327228', '1620156903', '1533269467', '0385342063', '1535168676', '0062235656', '1455533254', '1499756194', '0990961206', '1622660757'}"
5.0,0991068009,A1HW31KJ9V89CR,2,Visit Amazon's Sarina Bowen Page,1,491,305,"{'0141357037', '0062090364', '0989163377', '0991068009', '0989539164', '0989108155', '1444778536', '1476777969', '1499718268', '1534682651'}","{'0141357037', '0062090364', '0989163377', '0991068009', '0989539164', '0989108155', '1444778536', '1476777969', '1499718268', '1534682651'}"
4.0,0991068009,A5FEPIIKTY9Q2,1,Visit Amazon's Sarina Bowen Page,0,491,54,"{'0141357037', '0062090364', '0989163377', '0991068009', '0989539164', '0989108155', '1444778536', '1476777969', '1499718268', '1534682651'}","{'0141357037', '0062090364', '0989163377', '0991068009', '0989539164', '0989108155', '1444778536', '1476777969', '1499718268', '1534682651'}"
4.0,0991068009,A27V6NFIQ8XFBW,1,Visit Amazon's Sarina Bowen Page,0,491,59,"{'0141357037', '0062090364', '0989163377', '0991068009', '0989539164', '0989108155', '1444778536', '1476777969', '1499718268', '1534682651'}","{'0141357037', '0062090364', '0989163377', '0991068009', '0989539164', '0989108155', '1444778536', '1476777969', '1499718268', '1534682651'}"
5.0,0991140273,A1C5F13T4XA9MY,2,Visit Amazon's Kim Holden Page,0,492,334,"{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}","{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}"
3.0,0991127390,A1TUBKEWD01LLS,1,Visit Amazon's Rachel Van Dyken Page,0,493,12,"{'1944810080', '0141340231', '1910751774', '0804176787', '1503935310', '0991127390', '0990678849', '0151015392', '045146527X', '1476782318'}","{'1944810080', '0141340231', '1910751774', '0804176787', '1503935310', '0991127390', '0990678849', '0151015392', '045146527X', '1476782318'}"
5.0,0991127390,AM4XZBQH36O2M,2,Visit Amazon's Rachel Van Dyken Page,0,493,197,"{'1944810080', '0141340231', '1910751774', '0804176787', '1503935310', '0991127390', '0990678849', '0151015392', '045146527X', '1476782318'}","{'1944810080', '0141340231', '1910751774', '0804176787', '1503935310', '0991127390', '0990678849', '0151015392', '045146527X', '1476782318'}"
4.0,0991127390,AJ293T1MBB2TD,1,Visit Amazon's Rachel Van Dyken Page,0,493,89,"{'1944810080', '0141340231', '1910751774', '0804176787', '1503935310', '0991127390', '0990678849', '0151015392', '045146527X', '1476782318'}","{'1944810080', '0141340231', '1910751774', '0804176787', '1503935310', '0991127390', '0990678849', '0151015392', '045146527X', '1476782318'}"
5.0,0991140273,A3KFTHKGVC63SL,2,Visit Amazon's Kim Holden Page,0,492,81,"{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}","{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}"
5.0,0991140273,AS6293LX151J5,2,Visit Amazon's Kim Holden Page,0,492,175,"{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}","{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}"
5.0,0991140273,A2CM8FV0PZDQQ6,2,Visit Amazon's Kim Holden Page,0,492,202,"{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}","{'1682305139', '0991140230', '1944565140', '1500935999', '1682304302', '1500598437', '1682304507', '031613399X', '1495472418', '0991140273'}"
5.0,0991204549,ALY4MQYVAEE4U,2,Visit Amazon's Katy Regnery Page,0,494,317,"{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}","{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}"
5.0,0991204549,AO5ABKXMYF4W7,2,Visit Amazon's Katy Regnery Page,0,494,335,"{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}","{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}"
5.0,0991204549,A3KFTHKGVC63SL,2,Visit Amazon's Katy Regnery Page,0,494,81,"{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}","{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}"
5.0,0991204549,A2VSI0RDFNNBEU,2,Visit Amazon's Katy Regnery Page,0,494,240,"{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}","{'149275160X', '1496147073', '0998358363', '031613399X', '1500598437', '1541166574', '1980657874', '0778316726', '0991204549', '1539855341'}"
4.0,0991140230,A1BUA3LAY7A8ZK,1,Visit Amazon's Kim Holden Page,0,495,336,"{'0349408297', '1501079948', '147911698X', '0991140230', '0991140273', '1476761779', '1500935999', '1682304507', '1943796920', '0984887873'}","{'0349408297', '1501079948', '147911698X', '0991140230', '0991140273', '1476761779', '1500935999', '1682304507', '1943796920', '0984887873'}"
5.0,0991140230,AS6293LX151J5,2,Visit Amazon's Kim Holden Page,1,495,175,"{'0349408297', '1501079948', '147911698X', '0991140230', '0991140273', '1476761779', '1500935999', '1682304507', '1943796920', '0984887873'}","{'0349408297', '1501079948', '147911698X', '0991140230', '0991140273', '1476761779', '1500935999', '1682304507', '1943796920', '0984887873'}"
5.0,0991310667,AAWWVH8V7DVX4,2,Visit Amazon's Jewel E Ann Page,0,496,244,"{'0991310667', '0991553489', '1548781363', '1520192819', '1495416046', '1943796769', '0615429505', '1545129754', '1942834179', '0615741932'}","{'0991310667', '0991553489', '1548781363', '1520192819', '1495416046', '1943796769', '0615429505', '1545129754', '1942834179', '0615741932'}"
5.0,0991310667,A19WZRD3RKFJSO,2,Visit Amazon's Jewel E Ann Page,0,496,337,"{'0991310667', '0991553489', '1548781363', '1520192819', '1495416046', '1943796769', '0615429505', '1545129754', '1942834179', '0615741932'}","{'0991310667', '0991553489', '1548781363', '1520192819', '1495416046', '1943796769', '0615429505', '1545129754', '1942834179', '0615741932'}"
5.0,0991251733,A1W48IWJ8A610S,2,Visit Amazon's E. B. Walters Page,0,497,271,"{'0692352856', '1452611653', '1514749890', '0316081051', '1517382025', '0692489142', '0692630384', '1492740357', '0991251733', '1481999842'}","{'0692352856', '1452611653', '1514749890', '0316081051', '1517382025', '0692489142', '0692630384', '1492740357', '0991251733', '1481999842'}"
4.0,0991379667,A3S3O6L6SZL8KV,1,Visit Amazon's Laurelin Paige Page,0,498,212,"{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}","{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}"
4.0,0991379632,A24ETSYVDJB5D3,1,Visit Amazon's Laurelin Paige Page,0,499,338,"{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}","{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}"
5.0,0991379632,A2N0V6GUH28XMN,2,Visit Amazon's Laurelin Paige Page,0,499,57,"{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}","{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}"
5.0,0991379632,AIPMC2NU26VCJ,2,Visit Amazon's Laurelin Paige Page,0,499,298,"{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}","{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}"
4.0,0991379632,A2NTCUJW056D97,1,Visit Amazon's Laurelin Paige Page,0,499,313,"{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}","{'1500417483', '1468065343', '1682305988', '1539345068', '0991379632', '0062267906', '1491006919', '1514758512', '1490519297', '1409155684'}"
5.0,0991379667,A2FCP7ICZAQGZO,2,Visit Amazon's Laurelin Paige Page,0,498,281,"{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}","{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}"
5.0,0991379667,A3N67XHSHB40CQ,2,Visit Amazon's Laurelin Paige Page,0,498,314,"{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}","{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}"
4.0,0991379667,AKH906R0Z1PPS,1,Visit Amazon's Laurelin Paige Page,0,498,63,"{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}","{'1503954307', '1467980757', '1470107163', '0778316009', '0991379667', '1943893098', '1982022485', '1452668663', '1503940756', '154075832X'}"
5.0,0991553489,A19WZRD3RKFJSO,2,Visit Amazon's Lex Martin Page,0,500,337,"{'0991553489', '0991310667', '1548781363', '1942288123', '1520192819', '1518711391', '1943796769', '1545129754', '1682304663', '1517006120'}","{'0991553489', '0991310667', '1548781363', '1942288123', '1520192819', '1518711391', '1943796769', '1545129754', '1682304663', '1517006120'}"
4.0,0991553489,A7KETEJDZYJFI,1,Visit Amazon's Lex Martin Page,0,500,306,"{'0991553489', '0991310667', '1548781363', '1942288123', '1520192819', '1518711391', '1943796769', '1545129754', '1682304663', '1517006120'}","{'0991553489', '0991310667', '1548781363', '1942288123', '1520192819', '1518711391', '1943796769', '1545129754', '1682304663', '1517006120'}"
3.0,0991553489,A1ODI3DRI04JZO,1,Visit Amazon's Lex Martin Page,0,500,221,"{'0991553489', '0991310667', '1548781363', '1942288123', '1520192819', '1518711391', '1943796769', '1545129754', '1682304663', '1517006120'}","{'0991553489', '0991310667', '1548781363', '1942288123', '1520192819', '1518711391', '1943796769', '1545129754', '1682304663', '1517006120'}"
4.0,0991379616,AROM93VDAPJEX,1,Visit Amazon's Laurelin Paige Page,0,501,236,"{'0989247910', '0425263991', '0099911701', '1508706255', '153023932X', '1936305941', '1492108421', '0988707489', '0991379616', '1409155684'}","{'0989247910', '0425263991', '0099911701', '1508706255', '153023932X', '1936305941', '1492108421', '0988707489', '0991379616', '1409155684'}"
5.0,0991379616,AIPMC2NU26VCJ,2,Visit Amazon's Laurelin Paige Page,0,501,298,"{'0989247910', '0425263991', '0099911701', '1508706255', '153023932X', '1936305941', '1492108421', '0988707489', '0991379616', '1409155684'}","{'0989247910', '0425263991', '0099911701', '1508706255', '153023932X', '1936305941', '1492108421', '0988707489', '0991379616', '1409155684'}"
